cues,result,compare
carry kavadi,1250,1350
catch feel,5620,5610
catch no ball,3960,8920
cats cradle,144000,124000
cb mouth,19600,19600
cekik,56700,58400
cekik darah,10500,16200
cekodok,85100,76600
celebpreneur,605,615
cemburu,335000,346000
cemburu buta,10900,10900
cement your mouth,2,2
cempedak,136000,138000
cepat lari,6690,6390
cereal prawn,32000,29100
cerewet,138000,155000
cerita dongeng,138000,133000
cewah,10400,10300
cha si nang,234,235
cha tow peng,7,8
chalk drawing,19800,21200
challen,385000,387000
cham,14700000,41000000
cham siong,564,564
champion,50000000,53100000
change parade,2050,2050
changi prison,85600,86300
chao,17800000,8480000
chao ah beng,2630,2870
chao ah lian,1930,1890
chao chee bong,58,78
chao chee bye,1050,3060
chao da,20500,20500
chao hi lang,7,7
chao kah,484,484
chao kang,10500,10600
chao keng,23800,23600
chao keng king,89,94
chao keng queen,1,1
chao kuan,1150,1180
chao lao,5830,11000
chao mugger,254,262
chao private,1850,674
chao recruit,1300,1300
chao ter bye,1,1
chap cheng,676,668
chap cheng kao,173000,289000
chap go mei,20200,20200
chap lau chu,712,661
chap sar tiam,41,47
chapalang,12100,14400
chapteh,9560,10400
char bor,8320,8540
char bor heng,1,1
char tau,309,309
chase rank,9990,10200
chau peng,5300,5480
chay meh,4,4
chay meh goo,158000,231000
cheapo,407000,162000
cheapo pek,16000,19800
cheat duit,138,183
cheat feeling,6890,6930
cheat money,59200,58000
cheat my feeling,6210,6210
cheat my money,92800,92400
cheaterbug,382,499
chee bye,5580,5950
chee bye bin,9,130
chee bye chwee,6,6
chee bye face,91,91
chee bye leaf,89,90
chee bye mouth,84,84
chee hong,79100,92000
chee ko,3060,3270
chee ko pek,1080,1090
chee leow bee,91500,91600
chee sin,3140,7440
chee toad,135000,157000
cheebilised,5,5
cheem,19000,18900
cheeminology,354,355
cheemology,363,363
cheena,4900000,4900000
cheena beng,32,32
cheena gherk,30,30
cheena pek,1,1
cheena piang,57,53
cheena pok,863,863
cheese cracker,15100,19900
cheese mexico,1570,1430
cheese pie,62100,77000
cheesy,16800000,20500000
cheh,449000,484000
chellam,238000,233000
cheng hu kang,219,201
cheoh,13100,5140
cher,25100000,22500000
cherry cherry long chiam pas,118,154
chey,391000,400000
cheybah,29,37
cheydebah,47,101
chi cham,2150,2070
chi kek,192,264
chi teh bin,7,7
chiak buay liao,55,55
chiak chow,66,60
chiak hong,309,369
chiak kantang,2410,2380
chiak kuay kuay,6,7
chiak lang,30,47
chiak leow bee,80,80
chiak lui,32,32
chiak pah boh sai pang,8,8
chiak pah pak ka chng,5,5
chiak sior eng,5,5
chiak tsua,59,42
chiam see tong,37300,35300
chibaboom,983,1150
chibot,1130,1170
chickabong,8,8
chickadees,223000,211000
chicken,144000000,121000000
chicken backside,2070,2050
chicken business,9740,9120
chicken feed,100000,101000
chicken feet,187000,242000
chicken floss,51700,46600
chicken hand duck leg,18,21
chicken ppl,11500,45
chicken rendang,46600,41600
chicken rice,4690000,4100000
chicken serunding,1790,1800
chik ak,261,284
chiku,364000,343000
chillax,181000,161000
chilli crab,367000,385000
chilli padi,95800,91000
chin chye,265000,246000
china helicopter,111000,108000
china man,170000,168000
china woman,285000,66100
chinapore,1530,1600
chinaporean,178,176
chindian,159000,152000
chinese almanac,14400,14000
chinese ghost festival,8740,3950
chinese helicopter,9330,10100
ching chong,26800,25100
chio,428000,432000
chio bu,22800,23200
chio bu,22800,23200
chio kao peng,106,105
chiong,158000,152000
chiong sua,2490,2580
chiong sua unit,63,63
chiu,6250000,5970000
chiu kena kah kah kena lum pah,1,1
chiu kena kah,3,3
cho boh lan,212,219
chochok,1090,1090
choi,30000000,40100000
choki,438000,444000
